url_club,club_league2021,url_club_stadium,club_stadium_coord,club_stadium_lat,club_stadium_lbg
/wiki/Standard_Li%C3%A8ge,Belgian First Division A,/wiki/Stade_Maurice_Dufrasne,50°36′35.67″N 5°32′36.04″E,50.60990833333334,5.543344444444444
/wiki/RSC_Anderlecht,Belgian First Division A,/wiki/Lotto_Park,50°50′3.1″N 4°17′54.1″E,50.83419444444445,4.298361111111111
/wiki/Club_Brugge_K.V.,Belgian First Division A,/wiki/Jan_Breydel_Stadium,51°11′35.78″N 3°10′50.10″E,51.19327222222222,3.1805833333333333
/wiki/R.S.C._Anderlecht,Belgian First Division A,/wiki/Lotto_Park,50°50′3.1″N 4°17′54.1″E,50.83419444444445,4.298361111111111
/wiki/R.W.D._Molenbeek,NA,/wiki/Edmond_Machtens_Stadium,50°51′18″N 4°18′40″E,50.855000000000004,4.311111111111111
/wiki/K._Sint-Truidense_V.V.,Belgian First Division A,/wiki/Staaienveld,50°48′49″N 5°09′59″E,50.81361111111111,5.166388888888889
/wiki/Lierse_SK,Proximus League,/wiki/Herman_Vanderpoortenstadion,51°08′39″N 4°34′25″E,51.14416666666666,4.573611111111111
/wiki/Ferencv%C3%A1rosi_TC,NB I,/wiki/Ferencv%C3%A1ros_Stadion,47°28′32″N 19°5′43″E,47.47555555555556,19.095277777777778
/wiki/Videoton_FC_Feh%C3%A9rv%C3%A1r,NB I,/wiki/MOL_Ar%C3%A9na_S%C3%B3st%C3%B3,47°10′25.3″N 18°24′55.3″E,47.17369444444444,18.41536111111111
/wiki/P%C3%A9csi_Munk%C3%A1s_FC,NB II,/wiki/Stadion_PMFC,46°04′07″N 18°11′45″E,46.06861111111112,18.195833333333333
/wiki/FC_Shakhtar_Donetsk,Ukrainian Premier League,/wiki/Donbass_Arena,48°1′15″N 37°48′35″E,48.020833333333336,37.80972222222222
/wiki/FC_Karpaty_Lviv,Ukrainian Second League,/wiki/Ukraina_Stadium,49°49′09″N 24°02′53″E,49.81916666666667,24.048055555555557
/wiki/FC_Zorya_Luhansk,Ukrainian Premier League,/wiki/Slavutych-Arena,47°51′35″N 35°05′49″E,47.859722222222224,35.096944444444446
/wiki/FC_Bayern_Munich,Bundesliga,/wiki/Allianz_Arena,48°13′7.59″N 11°37′29.11″E,48.218775,11.624752777777779
/wiki/SV_Werder_Bremen,Bundesliga,/wiki/Weser-Stadion,53°3′59.02″N 8°50′15.46″E,53.06639444444444,8.837627777777778
/wiki/Borussia_M%C3%B6nchengladbach,Bundesliga,/wiki/Borussia-Park,51°10′28.50″N 6°23′7.67″E,51.17458333333333,6.385463888888889
/wiki/Eintracht_Frankfurt,Bundesliga,/wiki/Waldstadion_(Frankfurt),50°4′7″N 8°38′43″E,50.06861111111112,8.645277777777777
/wiki/FC_Schalke_04,Bundesliga,/wiki/Arena_AufSchalke,51°33′16.21″N 7°4′3.32″E,51.55450277777778,7.0675888888888885
/wiki/MSV_Duisburg,3. Liga,/wiki/Schauinsland-Reisen-Arena,51°24′32.52″N 6°46′43.19″E,51.40903333333333,6.778663888888889
/wiki/1._FC_K%C3%B6ln,Bundesliga,/wiki/RheinEnergieStadion,50°56′0.59″N 6°52′29.99″E,50.93349722222222,6.874997222222222
/wiki/Spartak_Trnava,Fortuna liga,/wiki/Anton_Malatinsk%C3%BD_Stadium,48°22′24″N 17°35′30″E,48.373333333333335,17.591666666666665
/wiki/Inter_Bratislava,3.liga Bratislava Group,"/wiki/Stupava,_Malacky_District",48°16′16″N 17°01′54″E,48.27111111111111,17.031666666666666
