"year","teams","url","team","qualified_as","qualified_on","url_team","url_comp_logo","comp_prev","team_alpha3"
1996,16,"https://en.wikipedia.org/wiki/UEFA_Euro_1996","Croatia","Group 4 winner","15 November 1995","/wiki/Croatia_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/7/7b/UEFA_Euro_1996_logo.svg/160px-UEFA_Euro_1996_logo.svg.png","0 (debut)","HRV"
1996,16,"https://en.wikipedia.org/wiki/UEFA_Euro_1996","Scotland","4th best runner-up","15 November 1995","/wiki/Scotland_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/7/7b/UEFA_Euro_1996_logo.svg/160px-UEFA_Euro_1996_logo.svg.png","1 (1992)","GB-SCT"
1996,16,"https://en.wikipedia.org/wiki/UEFA_Euro_1996","Bulgaria","2nd best runner-up","15 November 1995","/wiki/Bulgaria_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/7/7b/UEFA_Euro_1996_logo.svg/160px-UEFA_Euro_1996_logo.svg.png","0 (debut)","BGR"
1996,16,"https://en.wikipedia.org/wiki/UEFA_Euro_1996","Germany","Group 7 winner","15 November 1995","/wiki/Germany_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/7/7b/UEFA_Euro_1996_logo.svg/160px-UEFA_Euro_1996_logo.svg.png","6 (1972, 1976, 1980, 1984, 1988, 1992)","DEU"
1996,16,"https://en.wikipedia.org/wiki/UEFA_Euro_1996","Romania","Group 1 winner","15 November 1995","/wiki/Romania_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/7/7b/UEFA_Euro_1996_logo.svg/160px-UEFA_Euro_1996_logo.svg.png","1 (1984)","ROU"
1996,16,"https://en.wikipedia.org/wiki/UEFA_Euro_1996","Turkey","3rd best runner-up","15 November 1995","/wiki/Turkey_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/7/7b/UEFA_Euro_1996_logo.svg/160px-UEFA_Euro_1996_logo.svg.png","0 (debut)","TUR"
1996,16,"https://en.wikipedia.org/wiki/UEFA_Euro_1996","Denmark","5th best runner-up","15 November 1995","/wiki/Denmark_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/7/7b/UEFA_Euro_1996_logo.svg/160px-UEFA_Euro_1996_logo.svg.png","4 (1964, 1984, 1988, 1992)","DNK"
1996,16,"https://en.wikipedia.org/wiki/UEFA_Euro_1996","Czech Republic","Group 5 winner","15 November 1995","/wiki/Czech_Republic_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/7/7b/UEFA_Euro_1996_logo.svg/160px-UEFA_Euro_1996_logo.svg.png","3 (1960, 1976, 1980)","CZE"
1996,16,"https://en.wikipedia.org/wiki/UEFA_Euro_1996","Italy","1st best runner-up","15 November 1995","/wiki/Italy_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/7/7b/UEFA_Euro_1996_logo.svg/160px-UEFA_Euro_1996_logo.svg.png","3 (1968, 1980, 1988)","ITA"
1996,16,"https://en.wikipedia.org/wiki/UEFA_Euro_1996","France","6th best runner-up","15 November 1995","/wiki/France_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/7/7b/UEFA_Euro_1996_logo.svg/160px-UEFA_Euro_1996_logo.svg.png","3 (1960, 1984, 1992)","FRA"
1996,16,"https://en.wikipedia.org/wiki/UEFA_Euro_1996","Portugal","Group 6 winner","15 November 1995","/wiki/Portugal_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/7/7b/UEFA_Euro_1996_logo.svg/160px-UEFA_Euro_1996_logo.svg.png","1 (1984)","PRT"
1996,16,"https://en.wikipedia.org/wiki/UEFA_Euro_1996","Netherlands","Play-off winner","13 December 1995","/wiki/Netherlands_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/7/7b/UEFA_Euro_1996_logo.svg/160px-UEFA_Euro_1996_logo.svg.png","4 (1976, 1980, 1988, 1992)","NLD"
2000,16,"https://en.wikipedia.org/wiki/UEFA_Euro_2000","Belgium","Co-host","14 July 1995","/wiki/Belgium_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/d/da/UEFA_Euro_2000_logo.svg/120px-UEFA_Euro_2000_logo.svg.png","3 (1972, 1980, 1984)","BEL"
2000,16,"https://en.wikipedia.org/wiki/UEFA_Euro_2000","Netherlands","Co-host","14 July 1995","/wiki/Netherlands_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/d/da/UEFA_Euro_2000_logo.svg/120px-UEFA_Euro_2000_logo.svg.png","5 (1976, 1980, 1988, 1992, 1996)","NLD"
2000,16,"https://en.wikipedia.org/wiki/UEFA_Euro_2000","Czech Republic","Group 9 winner","9 June 1999","/wiki/Czech_Republic_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/d/da/UEFA_Euro_2000_logo.svg/120px-UEFA_Euro_2000_logo.svg.png","4 (1960, 1976, 1980, 1996)","CZE"
2000,16,"https://en.wikipedia.org/wiki/UEFA_Euro_2000","Norway","Group 2 winner","8 September 1999","/wiki/Norway_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/d/da/UEFA_Euro_2000_logo.svg/120px-UEFA_Euro_2000_logo.svg.png","0 (debut)","NOR"
2000,16,"https://en.wikipedia.org/wiki/UEFA_Euro_2000","Sweden","Group 5 winner","8 September 1999","/wiki/Sweden_men%27s_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/d/da/UEFA_Euro_2000_logo.svg/120px-UEFA_Euro_2000_logo.svg.png","1 (1992)","SWE"
2000,16,"https://en.wikipedia.org/wiki/UEFA_Euro_2000","Spain","Group 6 winner","8 September 1999","/wiki/Spain_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/d/da/UEFA_Euro_2000_logo.svg/120px-UEFA_Euro_2000_logo.svg.png","5 (1964, 1980, 1984, 1988, 1996)","ESP"
2000,16,"https://en.wikipedia.org/wiki/UEFA_Euro_2000","Italy","Group 1 winner","9 October 1999","/wiki/Italy_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/d/da/UEFA_Euro_2000_logo.svg/120px-UEFA_Euro_2000_logo.svg.png","4 (1968, 1980, 1988, 1996)","ITA"
2000,16,"https://en.wikipedia.org/wiki/UEFA_Euro_2000","Germany","Group 3 winner","9 October 1999","/wiki/Germany_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/d/da/UEFA_Euro_2000_logo.svg/120px-UEFA_Euro_2000_logo.svg.png","7 (1972, 1976, 1980, 1984, 1988, 1992, 1996)","DEU"
2000,16,"https://en.wikipedia.org/wiki/UEFA_Euro_2000","France","Group 4 winner","9 October 1999","/wiki/France_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/d/da/UEFA_Euro_2000_logo.svg/120px-UEFA_Euro_2000_logo.svg.png","4 (1960, 1984, 1992, 1996)","FRA"
2000,16,"https://en.wikipedia.org/wiki/UEFA_Euro_2000","Romania","Group 7 winner","9 October 1999","/wiki/Romania_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/d/da/UEFA_Euro_2000_logo.svg/120px-UEFA_Euro_2000_logo.svg.png","2 (1984, 1996)","ROU"
2000,16,"https://en.wikipedia.org/wiki/UEFA_Euro_2000","Yugoslavia","Group 8 winner","9 October 1999","/wiki/Serbia_and_Montenegro_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/d/da/UEFA_Euro_2000_logo.svg/120px-UEFA_Euro_2000_logo.svg.png","4 (1960, 1968, 1976, 1984)","YUG"
2000,16,"https://en.wikipedia.org/wiki/UEFA_Euro_2000","Portugal","Best runner-up","9 October 1999","/wiki/Portugal_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/d/da/UEFA_Euro_2000_logo.svg/120px-UEFA_Euro_2000_logo.svg.png","2 (1984, 1996)","PRT"
2000,16,"https://en.wikipedia.org/wiki/UEFA_Euro_2000","Denmark","Play-off winner","17 November 1999","/wiki/Denmark_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/d/da/UEFA_Euro_2000_logo.svg/120px-UEFA_Euro_2000_logo.svg.png","5 (1964, 1984, 1988, 1992, 1996)","DNK"
2000,16,"https://en.wikipedia.org/wiki/UEFA_Euro_2000","England","Play-off winner","17 November 1999","/wiki/England_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/d/da/UEFA_Euro_2000_logo.svg/120px-UEFA_Euro_2000_logo.svg.png","5 (1968, 1980, 1988, 1992, 1996)","GB-ENG"
2000,16,"https://en.wikipedia.org/wiki/UEFA_Euro_2000","Slovenia","Play-off winner","17 November 1999","/wiki/Slovenia_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/d/da/UEFA_Euro_2000_logo.svg/120px-UEFA_Euro_2000_logo.svg.png","0 (debut)","SVN"
2000,16,"https://en.wikipedia.org/wiki/UEFA_Euro_2000","Turkey","Play-off winner","17 November 1999","/wiki/Turkey_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/d/da/UEFA_Euro_2000_logo.svg/120px-UEFA_Euro_2000_logo.svg.png","1 (1996)","TUR"
2004,16,"https://en.wikipedia.org/wiki/UEFA_Euro_2004","Portugal","Host","12 October 1999","/wiki/Portugal_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/3/39/UEFA_Euro_2004_logo.svg/200px-UEFA_Euro_2004_logo.svg.png","3 (1984, 1996, 2000)","PRT"
2004,16,"https://en.wikipedia.org/wiki/UEFA_Euro_2004","France","Group 1 winner","10 September 2003","/wiki/France_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/3/39/UEFA_Euro_2004_logo.svg/200px-UEFA_Euro_2004_logo.svg.png","5 (1960, 1984, 1992, 1996, 2000)","FRA"
2004,16,"https://en.wikipedia.org/wiki/UEFA_Euro_2004","Czech Republic","Group 3 winner","10 September 2003","/wiki/Czech_Republic_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/3/39/UEFA_Euro_2004_logo.svg/200px-UEFA_Euro_2004_logo.svg.png","5 (1960, 1976, 1980, 1996, 2000)","CZE"
2004,16,"https://en.wikipedia.org/wiki/UEFA_Euro_2004","Sweden","Group 4 winner","10 September 2003","/wiki/Sweden_men%27s_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/3/39/UEFA_Euro_2004_logo.svg/200px-UEFA_Euro_2004_logo.svg.png","2 (1992, 2000)","SWE"
